MANufACTuRERS NAME,BuSINESS NAME,DATE Of ACCIDENT,Time of Accident,PM,VEhICLE YEAR,MAkE,MODEL,STATE VEhICLE IS REGISTERED IN,Stopped in Traffic,NuMBER Of VEhICLES INVOLVED,minor,VEhICLE YEAR_2,MODEL_2,STATE VEhICLE IS REGISTERED IN_2,Moving_2,NuMBER Of VEhICLES INVOLVED_2,STATE_2,Injured,Passenger_2,Autonomous Mode,WEATHER A 1,WEATHER A 2,LIGHTING A 1,LIGHTING A 2,ROADWAY A 1,ROADWAY A 2,MOVEMENT A 1,MOVEMENT  B 2,TYPE A 2,TYPE C 1,PROGRAM DIRECTORAuThORIZED REPRESENTATIVE PRINTED NAME AND TITLE,DATE SIGNED,Left Rear 1,Rear Bumper,source_filename,Moving,undefined,Other,LIGHTING C 1,MOVEMENT  B 1,TYPE H 1,OTHER A NO,OTHER H NO,OTHER J,Right Front Corner 2,Passenger,MOVEMENT  L 2,TYPE A 1,TYPE D 2,Left Front Corner 1,Left Front Corner 3,Front Driver Side 3,Injured_2,Conventional Mode,TYPE D 1,Front Passenger Side 4,Moderate,Driver,LIGHTING C 2,MOVEMENT  E 1,WEATHER C 1,ROADWAY B 1,ROAD CONDITIONS H 1,MOVEMENT  D 1,TYPE E 1,Right Rear 1,MOVEMENT  M 2,TYPE B 1,TYPE B 2,MOVEMENT  R 2,AM,ROAD CONDITIONS H 2,MOVEMENT  D 2,Left Rear 2,Left Front Corner 2,Right Front Corner 1,ROAD CONDITIONS E 2,ROAD CONDITIONS G 2,MOVEMENT  I 2,OTHER E,DRIVERS fuLL NAME First Middle last_2,WEATHER C 2,MOVEMENT  H 1,TYPE C 2,MOVEMENT  E 2,Front Driver Side 1,WEATHER B 1,WEATHER B 2,ROADWAY B 2,LIGHTING B 1,LIGHTING B 2,Right Rear 3,MOVEMENT  G 1,MOVEMENT  O 2,Stopped in Traffic_2,MOVEMENT A 2,Right Front Corner 3,Front Bumper,None,Bicyclist_2,Bicyclist_3,OTHER C,undefined_2,Other_2,TYPE H 2,MOVEMENT  K 2,MOVEMENT J 1,OTHER D
Waymo LLC,Waymo LLC,03/24/2021,07:45,,2017,Chrysler,Pacifica,CA,,2,/Yes,,Ford F-250,CA,,2,,,,,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,,,"Matt Salwasser, Program Manager",04/02/2021,,,Waymo_032421.pdf,/ ,,,,/Yes,,,,,,,,,,,,,,/ ,,/Yes,,,,,,,/Yes,,,,,/Yes,,,/ ,/Yes,,,,,,,,,,,,,,,,,,,,,,/Yes,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,03/30/2021,08:20,,2021,Jaguar,I-Pace,MI,,2,/Yes,2010,Honda Civic,CA,,2,CA,,,,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,,,"Matt Salwasser, Program Manager",04/08/2021,,/Yes,Waymo_033021.pdf,/ ,,,,,/Yes,,,,,,,,,,,,,/ ,,,,,,,,,/Yes,,,/Yes,,,,,/ ,/Yes,,,,,,,,,,,,,,,,,,,,,/Yes,,/ ,/Yes,,,,,,,,,,,,
Waymo LLC,Waymo LLC,03/31/2021,10:33,/ ,2017,Chrysler,Pacifica,CA,,2,/Yes,2015,Ford Transit,CA,/ ,2,CA,/ ,/ ,,/Yes,/Yes,,,/Yes,/Yes,,/Yes,,,"Matt Salwasser, Program Manager",04/09/2021,/Yes,/Yes,Waymo_033121.pdf,/ ,,,/Yes,,,,,,,,,,,,,,/ ,/ ,,,,/ ,/Yes,,,,/Yes,,,/Yes,,,,,,/Yes,,,,,,,,,,,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,04/04/2021,08:50,,2017,Chrysler,Pacifica,CA,,2,/Yes,2016,Honda CR-V,CA,,2,,,,,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,,,"Matt Salwasser, Program Manager",04/13/2021,,,waymo_040421.pdf,/ ,,,,/Yes,,,,,,,,,,,,,,/ ,,/Yes,,,,,,,/Yes,,,,,/Yes,,,/ ,/Yes,,,,,,,,,,,,,,,,,,,,,,/Yes,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,04/17/2021,04:03,,2017,Chrysler,Pacifica,CA,,2,/Yes,2010,Nissan Sentra,CA,/ ,2,,,,,/Yes,/Yes,,,/Yes,/Yes,,/Yes,,,"Matt Salwasser, Program Manager",04/26/2021,/Yes,/Yes,Waymo_041721.pdf,/ ,,,/Yes,,,,,,,,,,,,,,,/ ,,,,,/Yes,,,,/Yes,,,,,,,,/ ,/Yes,,,,,,,,,,,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,04/18/2021,04:00,/ ,2017,Chrysler,Pacifica,CA,/ ,2,/Yes,2019,Dodge Ram,CA,/ ,2,CA,,,/ ,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,"Matt Salwasser, Program Manager",04/26/2021,,/Yes,Waymo_041821.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Yes,,,,,,,,,/Yes,,,,,,,,,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,06/02/2021,9:00,,2021,Jaguar,I-Pace,CA,,2,/Yes,,Ford Ranger,CA,,2,,,,,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,,,"Matt Salwasser, Program Manager",06/11/2021,,,Waymo_060221_1.pdf,/ ,,,,,,,,,,,,,,,,,,/ ,,,,,,,,,/Yes,,,,,/Yes,,,/ ,/Yes,,,,,,,,,,,,,,,,,,,,/Yes,/Yes,/Yes,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,06/02/2021,09:10,,2021,Jaguar,I-Pace,MI,,2,,,BMW 328i,CA,,2,,,,,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,,/Yes,"Matt Salwasser, Program Manager",06/11/2021,,,Waymo_060221_2.pdf,/ ,,,,/Yes,,,,,,,,,,,/Yes,,,/ ,,,/Yes,,,,,,/Yes,,,,,,,,/ ,/Yes,,,,,,,,,,,,,,,,,,,,,,/Yes,,,/Yes,/Yes,,,,,,,,,,
Waymo LLC,Waymo LLC,06/03/2021,05:52,/ ,2017,Chrysler,Pacifica,CA,/ ,2,/Yes,,Toyota Prius,CA,/ ,2,CA,,,,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,"Matt Salwasser, Program Manager",06/11/2021,,/Yes,Waymo_060321.pdf,,,,,,,,,,,,,,,,,,,/ ,,,,,,,,,/Yes,,,,,,,,,/Yes,,,,,,,,,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,06/04/2021,01:18,/ ,2021,Jaguar,I-Pace,CA,,2,,,Bicycle,,/ ,,,/ ,,,/Yes,,/Yes,,/Yes,,,,,,"Matt Salwasser, Program Manager",06/11/2021,,,Waymo_060421.pdf,/ ,,,,,/Yes,,,,,,,,,,,,,/ ,,,,,,,,,/Yes,,,,,,,,,,,,,,,,,,,,/Yes,,,,,,,,,,,,,,,,/Yes,/ ,/ ,,,,,,,
Waymo LLC,Waymo LLC,06/11/2021,07:07,,2021,Jaguar,I-Pace,CA,,1,,,,,,,,,,,/Yes,,/Yes,,/Yes,,,,,,"Matt Salwasser, Program Manager",06/21/2021,,,waymo_061121.pdf,/ ,,,,/Yes,,,,,,,,,,/Yes,/Yes,/Yes,,/ ,,,/Yes,,,,,,/Yes,,/Yes,,,,,,/ ,,,,,,,,,,,,,,,,,,,,,,,,,,/Yes,/Yes,,,,/Yes,,,,,,
Waymo LLC,Waymo LLC,06/16/2021,05:48,/ ,2021,Jaguar,I-Pace,CA,,2,/Yes,,Motorized Scooter,,/ ,2,,/ ,,,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,/Yes,,,"Matt Salwasser, Program Manager",06/25/2021,,,waymo_061621.pdf,/ ,,,,,,,,,,,,,,,,,,/ ,,,,/ ,,/Yes,,,/Yes,,/Yes,,,,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,/Yes,,,,,/ ,Motorized Scooter,/Yes,,,
Waymo LLC,Waymo LLC,05/23/2021,02:42,/ ,2021,Jaguar,I-Pace,CA,/ ,2,/Yes,2016,Honda Fit,CA,/ ,2,CA,,,/ ,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,"Matt Salwasser, Program Manager",06/01/2021,,,waymo_OL316_052321_Redacted.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Yes,,,/Yes,,,,,,/Yes,,,,,,,,,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,
Zoox Inc,Zoox Inc.,05/11/2021,05:13,/ ,2016,Toyota,Highlander,CA,,1,,2014,Ford Fusion,CA,/ ,1,CA,,,/ ,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,,Jesse Levinson,05/17/2021,,,Zoox-OL316_051121_.pdf,/ ,/ ,Vehicle,,,,,,,,,,,,,,,,,,,,,,/Yes,,,/Yes,,,,,,,,,/Yes,,,,,,,,,,,,/Yes,/Yes,,,,,,,,,,,,,,/Yes,,,,/ ,Vehicle,,,,
Zoox Inc. ,Zoox Inc. ,02/11/2021,09:34,,2016,Toyota,Highlander,CA,/ ,1,,,Jaguar F-Pace,,/ ,1,Ca,,,,,,/Yes,/Yes,/Yes,/Yes,/Yes,,,/Yes,,,,,Zoox_021121.pdf,,/ ,Vehicle,,,,,,,,,,,,,,,,/ ,,,,,,,,,/Yes,,,,,,,,/ ,/Yes,,,,,,,,,,,,/Yes,,,/Yes,/Yes,,,,,,,,,,,/Yes,,,,/ ,Vehicle,,/Yes,,
Zoox Inc. ,Zoox Inc. ,03/18/2021,5:47,/ ,2016,Toyota,Highlander,CA,/ ,1,/Yes,,Toyota Tundra,CA,/ ,,,,,,,,/Yes,/Yes,,,/Yes,/Yes,,/Yes,,,/Yes,,Zoox_031821.pdf,,/ ,Vehicle,,,,,,,,,,,,,,,,/ ,,,,,,,/Yes,/Yes,/Yes,,,,,,,,,/Yes,,,,,,,,,,/Yes,,/Yes,,,,,/Yes,,,,,,,,,,,,,,/ ,Vehicle,,,/Yes,/Yes
